date,metric_name,value,segment,plan,region,domain,description
2025-04-15,Flow Velocity,361.1394,Mid-Market,Pro,North America,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-05-15,Flow Velocity,391.7957,Mid-Market,Basic,APAC,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-05-15,Flow Velocity,300.9384,SMB,Basic,EMEA,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-05-15,Flow Velocity,416.9365,Mid-Market,Enterprise,North America,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-06-14,Flow Velocity,409.9004,SMB,Basic,EMEA,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-06-14,Flow Velocity,282.4316,Enterprise,Basic,APAC,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-06-14,Flow Velocity,276.6082,SMB,Enterprise,North America,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-07-14,Flow Velocity,295.8809,Enterprise,Pro,North America,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-07-14,Flow Velocity,404.182,Enterprise,Enterprise,APAC,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-07-14,Flow Velocity,292.6894,Mid-Market,Basic,APAC,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-08-13,Flow Velocity,387.4828,SMB,Basic,APAC,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-08-13,Flow Velocity,313.4064,Enterprise,Pro,APAC,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-08-13,Flow Velocity,292.4655,SMB,Enterprise,APAC,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-09-12,Flow Velocity,307.9953,Enterprise,Enterprise,North America,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-09-12,Flow Velocity,312.9659,Mid-Market,Pro,APAC,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-09-12,Flow Velocity,436.8821,Enterprise,Pro,APAC,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-10-12,Flow Velocity,456.1532,Mid-Market,Pro,APAC,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-10-12,Flow Velocity,359.1691,Mid-Market,Enterprise,North America,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-10-12,Flow Velocity,458.2829,SMB,Pro,APAC,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-11-11,Flow Velocity,427.3683,SMB,Enterprise,EMEA,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-11-11,Flow Velocity,350.2338,Mid-Market,Pro,North America,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-11-11,Flow Velocity,374.536,Mid-Market,Enterprise,APAC,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-12-11,Flow Velocity,355.3442,SMB,Basic,APAC,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-12-11,Flow Velocity,399.8338,Enterprise,Pro,North America,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-12-11,Flow Velocity,421.3995,SMB,Basic,North America,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-01-15,Flow Time (Cycle Time),1082.2255,Enterprise,Pro,EMEA,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-01-15,Flow Time (Cycle Time),1070.3151,SMB,Basic,North America,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-01-15,Flow Time (Cycle Time),981.1017,SMB,Basic,APAC,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-02-14,Flow Time (Cycle Time),973.4954,Mid-Market,Basic,EMEA,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-02-14,Flow Time (Cycle Time),837.3775,SMB,Enterprise,APAC,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-02-14,Flow Time (Cycle Time),848.9777,Mid-Market,Basic,APAC,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-03-16,Flow Time (Cycle Time),704.8435,Mid-Market,Enterprise,APAC,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-03-16,Flow Time (Cycle Time),965.7824,SMB,Basic,EMEA,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-03-16,Flow Time (Cycle Time),845.0052,Enterprise,Basic,EMEA,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-04-15,Flow Time (Cycle Time),854.8017,SMB,Pro,North America,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-04-15,Flow Time (Cycle Time),731.3202,Enterprise,Basic,APAC,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-04-15,Flow Time (Cycle Time),983.0903,Mid-Market,Pro,APAC,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-05-15,Flow Time (Cycle Time),848.8875,Mid-Market,Pro,APAC,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-05-15,Flow Time (Cycle Time),848.4375,Enterprise,Enterprise,North America,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-05-15,Flow Time (Cycle Time),856.9318,Mid-Market,Basic,EMEA,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-06-14,Flow Time (Cycle Time),736.0229,SMB,Basic,EMEA,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-06-14,Flow Time (Cycle Time),1036.3196,SMB,Enterprise,APAC,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-06-14,Flow Time (Cycle Time),739.9126,SMB,Enterprise,APAC,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-07-14,Flow Time (Cycle Time),897.2384,SMB,Pro,EMEA,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-07-14,Flow Time (Cycle Time),1054.6924,SMB,Pro,EMEA,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-07-14,Flow Time (Cycle Time),999.0281,Mid-Market,Pro,APAC,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-08-13,Flow Time (Cycle Time),976.3943,Mid-Market,Pro,EMEA,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-08-13,Flow Time (Cycle Time),818.8204,SMB,Enterprise,North America,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-08-13,Flow Time (Cycle Time),1030.9029,SMB,Enterprise,North America,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-09-12,Flow Time (Cycle Time),964.5616,SMB,Basic,APAC,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-09-12,Flow Time (Cycle Time),1154.098,Mid-Market,Pro,EMEA,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-09-12,Flow Time (Cycle Time),1016.2945,Enterprise,Pro,EMEA,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-10-12,Flow Time (Cycle Time),1039.1064,Enterprise,Pro,EMEA,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-10-12,Flow Time (Cycle Time),777.6184,SMB,Enterprise,APAC,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-10-12,Flow Time (Cycle Time),1009.8097,Enterprise,Pro,EMEA,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-11-11,Flow Time (Cycle Time),1031.523,SMB,Pro,APAC,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-11-11,Flow Time (Cycle Time),886.8874,Mid-Market,Enterprise,EMEA,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-11-11,Flow Time (Cycle Time),807.7274,Enterprise,Pro,EMEA,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-12-11,Flow Time (Cycle Time),810.0147,SMB,Pro,EMEA,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-12-11,Flow Time (Cycle Time),873.1536,SMB,Pro,EMEA,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-12-11,Flow Time (Cycle Time),1205.5112,Enterprise,Basic,EMEA,"Operations [Inferred] (The metric's core focus on ""speed to value"" and","The average time from when a work item starts to when it is completed,"
2025-01-15,Flow Efficiency,947.0631,Mid-Market,Pro,EMEA,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-01-15,Flow Efficiency,843.6907,Enterprise,Pro,North America,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-01-15,Flow Efficiency,955.9562,Enterprise,Basic,EMEA,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-02-14,Flow Efficiency,716.6492,SMB,Pro,North America,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-02-14,Flow Efficiency,786.6846,Enterprise,Pro,EMEA,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-02-14,Flow Efficiency,973.6263,Mid-Market,Pro,North America,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-03-16,Flow Efficiency,783.2448,Mid-Market,Basic,EMEA,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-03-16,Flow Efficiency,1028.9903,SMB,Enterprise,APAC,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-03-16,Flow Efficiency,970.1084,Enterprise,Enterprise,APAC,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-04-15,Flow Efficiency,830.8026,Enterprise,Basic,North America,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-04-15,Flow Efficiency,968.4818,Enterprise,Pro,North America,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-04-15,Flow Efficiency,1032.0119,SMB,Pro,EMEA,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-05-15,Flow Efficiency,828.1235,Enterprise,Pro,APAC,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-05-15,Flow Efficiency,788.5221,SMB,Pro,North America,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-05-15,Flow Efficiency,893.1333,SMB,Basic,North America,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-06-14,Flow Efficiency,669.7195,Enterprise,Enterprise,EMEA,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-06-14,Flow Efficiency,707.6266,Mid-Market,Pro,APAC,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-06-14,Flow Efficiency,964.2278,Enterprise,Basic,North America,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-07-14,Flow Efficiency,894.0238,SMB,Pro,North America,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-07-14,Flow Efficiency,780.7933,Enterprise,Enterprise,EMEA,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-07-14,Flow Efficiency,848.5525,Enterprise,Basic,APAC,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-08-13,Flow Efficiency,876.171,Enterprise,Pro,APAC,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-08-13,Flow Efficiency,787.1507,Enterprise,Enterprise,EMEA,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-08-13,Flow Efficiency,726.9952,Enterprise,Pro,EMEA,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-09-12,Flow Efficiency,701.9172,Enterprise,Pro,EMEA,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-09-12,Flow Efficiency,752.8528,Enterprise,Enterprise,EMEA,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-09-12,Flow Efficiency,954.3537,Enterprise,Pro,EMEA,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-10-12,Flow Efficiency,745.443,SMB,Basic,APAC,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-10-12,Flow Efficiency,765.4741,SMB,Basic,North America,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-10-12,Flow Efficiency,901.8769,SMB,Enterprise,APAC,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-11-11,Flow Efficiency,915.6776,Mid-Market,Enterprise,EMEA,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-11-11,Flow Efficiency,661.1852,Enterprise,Basic,North America,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-11-11,Flow Efficiency,856.7685,Enterprise,Basic,EMEA,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-12-11,Flow Efficiency,680.9438,SMB,Enterprise,EMEA,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-12-11,Flow Efficiency,770.2788,Mid-Market,Enterprise,APAC,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-12-11,Flow Efficiency,754.9455,Enterprise,Enterprise,North America,"Operations [Inferred] (Its focus on ""active work time vs. total wait time"" and","The ratio of active work time versus total wait time, highlighting where"
2025-01-15,Work Item Aging,435.3603,Enterprise,Enterprise,APAC,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-01-15,Work Item Aging,316.6345,Enterprise,Pro,North America,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-01-15,Work Item Aging,384.5501,Enterprise,Enterprise,North America,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-02-14,Work Item Aging,314.8603,SMB,Enterprise,APAC,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-02-14,Work Item Aging,423.1359,Mid-Market,Enterprise,EMEA,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-02-14,Work Item Aging,387.1312,Mid-Market,Basic,APAC,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-03-16,Work Item Aging,441.034,SMB,Enterprise,North America,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-03-16,Work Item Aging,383.3852,Mid-Market,Basic,APAC,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-03-16,Work Item Aging,481.7673,Enterprise,Enterprise,APAC,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-04-15,Work Item Aging,384.7762,Enterprise,Pro,EMEA,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-04-15,Work Item Aging,390.8239,Mid-Market,Pro,North America,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-04-15,Work Item Aging,518.7954,Mid-Market,Pro,APAC,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-05-15,Work Item Aging,495.7805,SMB,Basic,APAC,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-05-15,Work Item Aging,422.0318,Enterprise,Enterprise,North America,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-05-15,Work Item Aging,385.873,SMB,Enterprise,North America,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-06-14,Work Item Aging,528.971,SMB,Enterprise,EMEA,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-06-14,Work Item Aging,457.9744,SMB,Pro,APAC,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-06-14,Work Item Aging,546.023,Mid-Market,Enterprise,North America,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-07-14,Work Item Aging,464.9409,Enterprise,Enterprise,EMEA,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-07-14,Work Item Aging,485.6875,Mid-Market,Pro,North America,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-07-14,Work Item Aging,455.1725,Enterprise,Pro,North America,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-08-13,Work Item Aging,418.5,Enterprise,Basic,North America,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-08-13,Work Item Aging,542.2385,Enterprise,Basic,North America,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-08-13,Work Item Aging,505.7717,Mid-Market,Pro,North America,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-09-12,Work Item Aging,431.7881,Enterprise,Basic,North America,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-09-12,Work Item Aging,450.5084,Enterprise,Pro,APAC,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-09-12,Work Item Aging,433.0868,Mid-Market,Basic,APAC,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-10-12,Work Item Aging,465.5734,SMB,Pro,EMEA,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-10-12,Work Item Aging,549.0632,SMB,Enterprise,North America,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-10-12,Work Item Aging,482.2346,Enterprise,Basic,APAC,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-11-11,Work Item Aging,548.9273,Enterprise,Pro,APAC,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-11-11,Work Item Aging,558.2189,Enterprise,Pro,EMEA,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-11-11,Work Item Aging,396.6672,Mid-Market,Pro,EMEA,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-12-11,Work Item Aging,482.3596,Enterprise,Enterprise,EMEA,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-12-11,Work Item Aging,437.5168,Enterprise,Pro,APAC,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-12-11,Work Item Aging,415.4107,SMB,Enterprise,APAC,"Operations [Inferred] (Its focus on ""time elapsed on in-progress items"" and","The time elapsed on in-progress items, showing potential blockages."
2025-01-15,WIP Load Ratio,1154.0386,SMB,Enterprise,North America,"Operations [Inferred] (Its focus on ""Work in Progress... versus sustainable","Current Work in Progress (WIP) versus sustainable capacity, indicating"
2025-01-15,WIP Load Ratio,930.027,Enterprise,Basic,EMEA,"Operations [Inferred] (Its focus on ""Work in Progress... versus sustainable","Current Work in Progress (WIP) versus sustainable capacity, indicating"
2025-01-15,WIP Load Ratio,920.894,SMB,Pro,EMEA,"Operations [Inferred] (Its focus on ""Work in Progress... versus sustainable","Current Work in Progress (WIP) versus sustainable capacity, indicating"
2025-02-14,WIP Load Ratio,948.0754,SMB,Pro,APAC,"Operations [Inferred] (Its focus on ""Work in Progress... versus sustainable","Current Work in Progress (WIP) versus sustainable capacity, indicating"
2025-02-14,WIP Load Ratio,842.2592,Mid-Market,Enterprise,APAC,"Operations [Inferred] (Its focus on ""Work in Progress... versus sustainable","Current Work in Progress (WIP) versus sustainable capacity, indicating"
2025-02-14,WIP Load Ratio,820.8937,Enterprise,Enterprise,North America,"Operations [Inferred] (Its focus on ""Work in Progress... versus sustainable","Current Work in Progress (WIP) versus sustainable capacity, indicating"
2025-03-16,WIP Load Ratio,809.7839,SMB,Pro,EMEA,"Operations [Inferred] (Its focus on ""Work in Progress... versus sustainable","Current Work in Progress (WIP) versus sustainable capacity, indicating"
2025-03-16,WIP Load Ratio,795.6057,Enterprise,Basic,APAC,"Operations [Inferred] (Its focus on ""Work in Progress... versus sustainable","Current Work in Progress (WIP) versus sustainable capacity, indicating"
2025-03-16,WIP Load Ratio,889.2607,Mid-Market,Pro,North America,"Operations [Inferred] (Its focus on ""Work in Progress... versus sustainable","Current Work in Progress (WIP) versus sustainable capacity, indicating"
2025-04-15,WIP Load Ratio,1129.5232,SMB,Basic,North America,"Operations [Inferred] (Its focus on ""Work in Progress... versus sustainable","Current Work in Progress (WIP) versus sustainable capacity, indicating"
2025-04-15,WIP Load Ratio,840.1551,Mid-Market,Pro,EMEA,"Operations [Inferred] (Its focus on ""Work in Progress... versus sustainable","Current Work in Progress (WIP) versus sustainable capacity, indicating"
2025-04-15,WIP Load Ratio,1125.666,SMB,Enterprise,EMEA,"Operations [Inferred] (Its focus on ""Work in Progress... versus sustainable","Current Work in Progress (WIP) versus sustainable capacity, indicating"
2025-05-15,WIP Load Ratio,962.4429,Enterprise,Pro,EMEA,"Operations [Inferred] (Its focus on ""Work in Progress... versus sustainable","Current Work in Progress (WIP) versus sustainable capacity, indicating"
2025-05-15,WIP Load Ratio,1137.8616,Mid-Market,Pro,EMEA,"Operations [Inferred] (Its focus on ""Work in Progress... versus sustainable","Current Work in Progress (WIP) versus sustainable capacity, indicating"
